initial_temperature,temperature_decrease,neighborhood_radius,initial_solution,best_solution,final_solution
25.0,0.8,1.0,13.126199161364664,9.376833533355084,9.376833533355084
25.0,0.8,1.0,17.264710755047982,21.959272308851958,21.959272308851958
25.0,0.8,1.0,21.842385543816864,21.842385543816864,28.20228968954505
25.0,0.8,1.0,9.883733164754094,9.242540418853421,9.401560754992564
25.0,0.85,1.0,22.439495479016593,22.274819029957794,28.106251474345004
25.0,0.85,1.0,20.448277756652907,21.97306306206363,21.988480707361244
25.0,0.85,1.0,16.761159962068273,15.631505803271825,15.622541744114844
25.0,0.85,1.0,7.77031121807517,2.822675280025189,2.822675280025189
25.0,0.85,1.0,22.523927202775738,21.951831740573684,21.98902760054506
25.0,0.85,1.0,11.37167965636058,9.318490129825367,9.318490129825367
25.0,0.85,1.0,6.357431855659419,2.813528323333439,2.813528323333439
25.0,0.85,1.0,7.5273335283661424,2.7885143789710627,2.7885143789710627
25.0,0.85,1.0,22.047521789446925,21.95128998240426,21.95731561205978
25.0,0.85,1.0,3.5279325017629484,2.806045060128675,2.8135033847403457
25.0,0.85,1.0,3.940685955280286,2.7368331511129913,2.7368331511129913
25.0,0.85,1.0,11.822124802102469,15.663503327440047,15.690961732179224
25.0,0.85,1.0,20.935959993303698,21.928529566014294,22.006290256503352
25.0,0.85,1.0,10.904738986100625,9.319170005184484,9.304683603531874
25.0,0.85,1.0,3.570791375785313,2.7894910746078176,2.757078121808703
25.0,0.85,1.0,9.583326108255687,9.363164218183698,9.268282072294197
25.0,0.85,1.0,22.68481718158987,15.608291495761573,15.608291495761573
25.0,0.85,1.0,21.989862171926568,21.989862171926568,28.35443417038098
25.0,0.85,1.0,20.993877184860693,21.950432931275042,21.950432931275042
25.0,0.85,1.0,27.533704658235713,28.25618907592413,28.317926410861993
25.0,0.85,1.0,19.585648921773203,21.948532666570465,21.92252530485969
25.0,0.85,1.0,0.04256303275538635,2.8200083458677505,2.8219845566890056
25.0,0.85,1.0,11.178070339379426,10.26718396970682,15.587500657438765
25.0,0.85,1.0,18.730509168264376,15.559308900442822,21.975934368558054
25.0,0.85,1.0,18.517502736627176,15.631718661794501,15.631718661794501
25.0,0.85,1.0,9.030730361469665,9.310389078740918,15.664721011658477
25.0,0.85,1.0,25.92749761294767,28.237956007111823,28.237956007111823
25.0,0.85,1.0,5.001003946964516,2.8118109886080624,2.8118296457904446
25.0,0.85,1.0,29.75139851374159,28.246383325106777,28.246383325106777
25.0,0.85,1.0,24.471656507423287,21.996738662327402,21.996738662327402
25.0,0.85,1.0,23.977472334317408,28.21324957431242,28.21324957431242
25.0,0.85,1.0,15.871764206945064,15.638429707669045,15.746526976286322
25.0,0.85,1.0,1.0906466965121422,2.7977169789758545,2.7977169789758545
25.0,0.85,1.0,23.968030412543673,22.29105304956684,28.249581445170655
25.0,0.85,1.0,8.192781177072229,9.261720261392929,9.376274190867457
25.0,0.85,1.0,7.430343346077015,2.8448853353581494,2.8448853353581494
25.0,0.85,1.0,6.513657512543959,2.867837555286545,2.867837555286545
